"model","simID","lac","mu","k","gam","laa","dd"
"etienne","112311",0.9,0.3,15,0.001,0.2,"CS"
"etienne","112322",0.9,0.3,15,0.001,0.4,"IW"
"etienne","112321",0.9,0.3,15,0.001,0.4,"CS"
"etienne","112332",0.9,0.3,15,0.001,0.6,"IW"
"etienne","112331",0.9,0.3,15,0.001,0.6,"CS"
"etienne","112112",0.9,0.3,15,1e-04,0.2,"IW"
"etienne","112111",0.9,0.3,15,1e-04,0.2,"CS"
"etienne","112122",0.9,0.3,15,1e-04,0.4,"IW"
"etienne","112121",0.9,0.3,15,1e-04,0.4,"CS"
"etienne","112132",0.9,0.3,15,1e-04,0.6,"IW"
"etienne","112131",0.9,0.3,15,1e-04,0.6,"CS"
"etienne","112212",0.9,0.3,15,5e-04,0.2,"IW"
"etienne","112211",0.9,0.3,15,5e-04,0.2,"CS"
"etienne","112222",0.9,0.3,15,5e-04,0.4,"IW"
"etienne","112221",0.9,0.3,15,5e-04,0.4,"CS"
"etienne","112232",0.9,0.3,15,5e-04,0.6,"IW"
"etienne","112231",0.9,0.3,15,5e-04,0.6,"CS"
"etienne","114312",0.9,0.3,30,0.001,0.2,"IW"
"etienne","114311",0.9,0.3,30,0.001,0.2,"CS"
"etienne","114322",0.9,0.3,30,0.001,0.4,"IW"
"etienne","114321",0.9,0.3,30,0.001,0.4,"CS"
"etienne","114332",0.9,0.3,30,0.001,0.6,"IW"
"etienne","114331",0.9,0.3,30,0.001,0.6,"CS"
"etienne","114112",0.9,0.3,30,1e-04,0.2,"IW"
"etienne","114111",0.9,0.3,30,1e-04,0.2,"CS"
"etienne","114122",0.9,0.3,30,1e-04,0.4,"IW"
"etienne","114121",0.9,0.3,30,1e-04,0.4,"CS"
"etienne","114132",0.9,0.3,30,1e-04,0.6,"IW"
"etienne","114131",0.9,0.3,30,1e-04,0.6,"CS"
"etienne","114212",0.9,0.3,30,5e-04,0.2,"IW"
"etienne","114211",0.9,0.3,30,5e-04,0.2,"CS"
"etienne","114222",0.9,0.3,30,5e-04,0.4,"IW"
"etienne","114221",0.9,0.3,30,5e-04,0.4,"CS"
"etienne","114232",0.9,0.3,30,5e-04,0.6,"IW"
"etienne","114231",0.9,0.3,30,5e-04,0.6,"CS"
"etienne","111312",0.9,0.3,5,0.001,0.2,"IW"
"etienne","111311",0.9,0.3,5,0.001,0.2,"CS"
"etienne","111322",0.9,0.3,5,0.001,0.4,"IW"
"etienne","111321",0.9,0.3,5,0.001,0.4,"CS"
"etienne","111332",0.9,0.3,5,0.001,0.6,"IW"
"etienne","111331",0.9,0.3,5,0.001,0.6,"CS"
"etienne","111112",0.9,0.3,5,1e-04,0.2,"IW"
"etienne","111111",0.9,0.3,5,1e-04,0.2,"CS"
"etienne","111122",0.9,0.3,5,1e-04,0.4,"IW"
"etienne","111121",0.9,0.3,5,1e-04,0.4,"CS"
"etienne","111132",0.9,0.3,5,1e-04,0.6,"IW"
"etienne","111131",0.9,0.3,5,1e-04,0.6,"CS"
"etienne","111212",0.9,0.3,5,5e-04,0.2,"IW"
"etienne","111211",0.9,0.3,5,5e-04,0.2,"CS"
"etienne","111222",0.9,0.3,5,5e-04,0.4,"IW"
"etienne","111221",0.9,0.3,5,5e-04,0.4,"CS"
"etienne","111232",0.9,0.3,5,5e-04,0.6,"IW"
"etienne","111231",0.9,0.3,5,5e-04,0.6,"CS"
"etienne","113312",0.9,0.3,Inf,0.001,0.2,"IW"
"etienne","113311",0.9,0.3,Inf,0.001,0.2,"CS"
"etienne","113322",0.9,0.3,Inf,0.001,0.4,"IW"
"etienne","113321",0.9,0.3,Inf,0.001,0.4,"CS"
"etienne","113332",0.9,0.3,Inf,0.001,0.6,"IW"
"etienne","113331",0.9,0.3,Inf,0.001,0.6,"CS"
"etienne","113112",0.9,0.3,Inf,1e-04,0.2,"IW"
"etienne","113111",0.9,0.3,Inf,1e-04,0.2,"CS"
"etienne","113122",0.9,0.3,Inf,1e-04,0.4,"IW"
"etienne","113121",0.9,0.3,Inf,1e-04,0.4,"CS"
"etienne","113132",0.9,0.3,Inf,1e-04,0.6,"IW"
"etienne","113131",0.9,0.3,Inf,1e-04,0.6,"CS"
"etienne","113212",0.9,0.3,Inf,5e-04,0.2,"IW"
"etienne","113211",0.9,0.3,Inf,5e-04,0.2,"CS"
"etienne","113222",0.9,0.3,Inf,5e-04,0.4,"IW"
"etienne","113221",0.9,0.3,Inf,5e-04,0.4,"CS"
"etienne","113232",0.9,0.3,Inf,5e-04,0.6,"IW"
"etienne","113231",0.9,0.3,Inf,5e-04,0.6,"CS"
"etienne","122312",0.9,0.4,15,0.001,0.2,"IW"
"etienne","122311",0.9,0.4,15,0.001,0.2,"CS"
"etienne","122322",0.9,0.4,15,0.001,0.4,"IW"
"etienne","122321",0.9,0.4,15,0.001,0.4,"CS"
"etienne","122332",0.9,0.4,15,0.001,0.6,"IW"
"etienne","122331",0.9,0.4,15,0.001,0.6,"CS"
"etienne","122112",0.9,0.4,15,1e-04,0.2,"IW"
"etienne","122111",0.9,0.4,15,1e-04,0.2,"CS"
"etienne","122122",0.9,0.4,15,1e-04,0.4,"IW"
"etienne","122121",0.9,0.4,15,1e-04,0.4,"CS"
"etienne","122132",0.9,0.4,15,1e-04,0.6,"IW"
"etienne","122131",0.9,0.4,15,1e-04,0.6,"CS"
"etienne","122212",0.9,0.4,15,5e-04,0.2,"IW"
"etienne","122211",0.9,0.4,15,5e-04,0.2,"CS"
"etienne","122222",0.9,0.4,15,5e-04,0.4,"IW"
"etienne","122221",0.9,0.4,15,5e-04,0.4,"CS"
